state,from_date,to_date,ipc_total_number,ipc_phase3plus_number,ipc_phase4_number,ipc_phase5_number,ipc_phase3plus_pct,ipc_phase4_pct,ipc_phase5_pct
Central Equatoria,2017-01-01,2017-01-31,1398314,339743,35967,0,0.24296617211870866,0.02572169055019116,0.0
Central Equatoria,2017-02-01,2017-04-30,1398314,383203,55630,0,0.2740464588068202,0.03978362513712943,0.0
Central Equatoria,2017-05-01,2017-05-31,1609344,532768,123744,0,0.3310466873458999,0.07689095681221665,0.0
Central Equatoria,2017-05-01,2017-07-31,1398314,491701,28786,0,0.3516384731898558,0.02058622026240172,0.0
Central Equatoria,2017-06-01,2017-07-31,1609344,597411,142501,0,0.37121398532569794,0.08854601626501232,0.0
Central Equatoria,2017-09-01,2017-09-30,1042662,474628,147051,0,0.45520791972854097,0.14103419900216946,0.0
Central Equatoria,2017-10-01,2017-12-31,1042662,392744,145966,0,0.3766743201536068,0.13999359332170924,0.0
Central Equatoria,2018-01-01,2018-01-31,1060192,552464,39646,0,0.5210980652561046,0.03739511333796142,0.0
Central Equatoria,2018-01-01,2018-03-31,1042662,491559,202044,0,0.47144616376160253,0.1937770821224903,0.0
Central Equatoria,2018-02-01,2018-04-30,1060192,637093,91010,0,0.6009222857746521,0.08584294165585102,0.0
Central Equatoria,2018-05-01,2018-07-31,1060192,677464,104061,0,0.639001237511696,0.09815297606471281,0.0
Central Equatoria,2018-09-01,2018-09-30,1230376,265021,40783,0,0.21539838228313946,0.033146777895537625,0.0
Central Equatoria,2018-10-01,2018-12-31,1230376,186517,15867,0,0.15159349662217078,0.012896057790464053,0.0
Central Equatoria,2019-01-01,2019-01-31,1100161,550123,55008,0,0.5000386307095053,0.049999954552106464,0.0
Central Equatoria,2019-01-01,2019-03-31,1249162,167694,10977,0,0.1342451979807263,0.008787491134056271,0.0
Central Equatoria,2019-02-01,2019-04-30,1100161,581833,110016,0,0.5288616847897717,0.09999990910421293,0.0
Central Equatoria,2019-05-01,2019-07-31,1100161,636843,131036,0,0.5788634572576196,0.11910620354657182,0.0
Central Equatoria,2019-08-01,2019-08-31,1453508,399048,54811,0,0.2745413165940607,0.03770945877146875,0.0
Central Equatoria,2019-09-01,2019-12-31,1453508,316888,12324,0,0.21801599991193718,0.008478797502318529,0.0
Central Equatoria,2020-01-01,2020-01-31,1453508,586380,103220,0,0.4034239921624098,0.0710144010215286,0.0
Central Equatoria,2020-01-01,2020-04-30,1453508,380577,34138,0,0.2618334402012235,0.0234866268365912,0.0
Central Equatoria,2020-02-01,2020-04-30,1453508,670150,111474,0,0.46105697388662464,0.07669307633669716,0.0
Central Equatoria,2020-05-01,2020-07-31,1453508,695429,101917,0,0.4784486910288763,0.07011794912721499,0.0
Central Equatoria,2020-10-01,2020-11-30,1507980,686000,206000,0,0.454913195135214,0.13660658629424793,0.0
Central Equatoria,2020-12-01,2021-03-31,1507980,421000,66000,0,0.279181421504264,0.04376715871563283,0.0
Central Equatoria,2021-04-01,2021-07-31,1507980,777000,226000,0,0.5152588230613138,0.14986936166262152,0.0
Central Equatoria,2022-02-01,2022-03-31,1545679,806720,153811,0,0.5219194929865775,0.09951031229640825,0.0
Central Equatoria,2022-04-01,2022-07-31,1545679,843272,177904,0,0.5455673526003783,0.1150976367020578,0.0
Central Equatoria,2022-10-01,2022-11-30,1548616,613168,103613,0,0.39594579934599666,0.0669068381057667,0.0
Central Equatoria,2022-12-01,2023-03-31,1548616,542575,67211,0,0.3503612257654577,0.04340068809827614,0.0
Central Equatoria,2023-04-01,2023-07-31,1548616,805721,194135,0,0.5202845637653234,0.12536032173243722,0.0
Central Equatoria,2023-09-01,2023-11-30,1324520,622198,175454,0,0.4697535711050041,0.13246610092712832,0.0
Central Equatoria,2023-12-01,2024-03-31,1324520,435145,109228,0,0.3285303355177725,0.08246610092712832,0.0
Central Equatoria,2024-04-01,2024-07-31,1324520,685367,189586,0,0.5174455651858787,0.1431356264911062,0.0
Central Equatoria,2024-09-01,2024-11-30,1595075,760000,122000,0,0.4764666238264658,0.07648543171951162,0.0
Central Equatoria,2024-12-01,2025-03-31,1595072,622000,94000,0,0.38995104923163343,0.05893150904786743,0.0
Central Equatoria,2025-04-01,2025-07-31,1595072,837000,171000,0,0.5247412029049472,0.10720519199133331,0.0
Central Equatoria,2025-09-01,2025-11-30,1740513,751283,70899,0,0.43164457835132514,0.040734542057427894,0.0
Central Equatoria,2025-12-01,2026-03-31,1740513,615955,38719,0,0.3538927890800011,0.022245740192690315,0.0
Central Equatoria,2026-04-01,2026-07-31,1740513,921672,125743,0,0.5295404285977755,0.07224479219632372,0.0
Eastern Equatoria,2017-01-01,2017-01-31,1010190,362967,77284,0,0.35930567517001755,0.07650441996060148,0.0
Eastern Equatoria,2017-02-01,2017-04-30,1010190,453062,108115,0,0.44849186786644096,0.10702442114849682,0.0
Eastern Equatoria,2017-05-01,2017-05-31,1162642,549142,138042,0,0.4723225206039348,0.11873130335907356,0.0
Eastern Equatoria,2017-05-01,2017-07-31,1010190,384751,75234,0,0.3808699353586949,0.07447509874380068,0.0
