state,dtm_idp_ind,dtm_returnees_ind,month,round,acled_events,acled_fatalities,acled_actor1_n,acled_actor2_n,acled_event_types,wfp_avg_price,wfp_avg_usdprice,wfp_market_count,wfp_commodity_count,wb_gdp_growth_annual_pct,wb_inflation_annual_pct,wb_net_oda_pct_gni,wb_oil_rents_pct_gdp,population_2025,ipc_total_number,ipc_phase3plus_number,ipc_phase4_number,ipc_phase5_number,ipc_phase3plus_pct,ipc_phase4_pct,ipc_phase5_pct,from_date,to_date,snapshot_date,flood_affected_people,flood_displaced_people,days_since_flood_snapshot,flood_recent_available,idp_per_1000,returnees_per_1000
Central Equatoria,188639.0,114470.0,2018-11-01,R4,19.0,24.0,8.0,6.0,4.0,,,,,,83.5015294922,,,1678969.7520777483,1230376.0,186517.0,15867.0,0.0,0.15159349662217078,0.012896057790464053,0.0,2018-10-01,2018-12-31,,,,,0,112.35401934225237,68.17871486865191
Central Equatoria,184121.0,106468.0,2019-03-01,R5,26.0,17.0,6.0,3.0,4.0,935.0579999999999,6.048666666666667,1.0,15.0,,87.2413641500032,,,1678969.7520777483,1100161.0,581833.0,110016.0,0.0,0.5288616847897717,0.09999990910421293,0.0,2019-02-01,2019-04-30,,,,,0,109.6630834308645,63.412696904303594
Central Equatoria,210463.0,129144.0,2019-06-01,R6,6.0,26.0,5.0,3.0,5.0,2291.733333333333,14.575333333333331,1.0,15.0,,87.2413641500032,,,1678969.7520777483,1100161.0,636843.0,131036.0,0.0,0.5788634572576196,0.11910620354657182,0.0,2019-05-01,2019-07-31,,,,,0,125.35246673714587,76.91859834888777
Central Equatoria,208853.0,147384.0,2019-11-01,R7,8.0,2.0,5.0,4.0,3.0,445.0,2.8236363636363637,1.0,11.0,,87.2413641500032,,,1678969.7520777483,1453508.0,316888.0,12324.0,0.0,0.21801599991193718,0.008478797502318529,0.0,2019-09-01,2019-12-31,,,,,0,124.39354535216702,87.78240335635009
Central Equatoria,220847.0,153118.0,2020-03-01,R8,10.0,1.0,5.0,3.0,4.0,7212.325185185186,45.46296296296296,1.0,27.0,,29.6758435538572,,,1678969.7520777483,1453508.0,670150.0,111474.0,0.0,0.46105697388662464,0.07669307633669716,0.0,2020-02-01,2020-04-30,,,,,0,131.53721186858712,91.1975929349021
Central Equatoria,234636.0,167828.0,2020-09-01,R9,14.0,12.0,6.0,4.0,3.0,3832.157567567567,23.442972972972974,1.0,33.0,,29.6758435538572,,,1678969.7520777483,,,,,,,,,,,,,,0,139.74998638875695,99.95891813554744
Central Equatoria,247115.0,178822.0,2020-12-01,R10,37.0,63.0,6.0,5.0,3.0,10231.275,58.64138888888889,1.0,32.0,,29.6758435538572,,,1678969.7520777483,1507980.0,421000.0,66000.0,0.0,0.279181421504264,0.04376715871563283,0.0,2020-12-01,2021-03-31,,,,,0,147.18252052736017,106.50698130726018
Central Equatoria,344043.0,209225.0,2021-09-01,R11,9.0,2.0,4.0,3.0,2.0,11878.254411764708,67.75558823529411,1.0,31.0,,10.5167158294358,,,1678969.7520777483,,,,,,,,,,,,,,0,204.9131615231555,124.61510979639816
Central Equatoria,321638.0,208781.0,2021-12-01,R12,25.0,20.0,10.0,7.0,4.0,5256.501290322581,12.666129032258064,1.0,28.0,,10.5167158294358,,,1678969.7520777483,,,,,,,,,,,,,,0,191.56866858498702,124.3506619113481
Central Equatoria,308447.0,232549.0,2022-08-01,R13,19.0,10.0,9.0,5.0,4.0,16618.255862068963,26.028965517241375,1.0,28.0,,-6.68732094212668,,,1678969.7520777483,,,,,,,,,,2021-12-13,10000.0,,231.0,1,183.7120648649522,138.50696220835272
